wav_path,label
./data/finvcup9th_1st_ds5/train/8cce2e813b63283db67522e27cc9ef8d.wav, 1
./data/finvcup9th_1st_ds5/train/72872f2bb4ae80cd0dcf23322f8850dd.wav, 0
./data/finvcup9th_1st_ds5/train/a6ae9e730588c15b2c0fd284655f74ff.wav, 1
./data/finvcup9th_1st_ds5/train/8a8cf8aff9eb8dd20ffaa6a2184d5cbe.wav, 0
./data/finvcup9th_1st_ds5/train/f263b1e7aae43fd155d076b38513c09d.wav, 1
./data/finvcup9th_1st_ds5/train/2210fcba0b0f5b8887e3ee7e7428c8c6.wav, 1
./data/finvcup9th_1st_ds5/train/2d36d8a2a15985e3182bb5782858fb29.wav, 1
./data/finvcup9th_1st_ds5/train/17c546d9fa9b1c0cf535c9e80a755532.wav, 1
./data/finvcup9th_1st_ds5/train/7d91b1475adc4e22b17915dada8b797b.wav, 1
./data/finvcup9th_1st_ds5/train/1898d57a628e907539716b760fb95ffa.wav, 0
./data/finvcup9th_1st_ds5/train/45ebecbc973b1e91360919a54b616033.wav, 1
./data/finvcup9th_1st_ds5/train/08c137a0749c5ebd15816f34cdfa992f.wav, 0
./data/finvcup9th_1st_ds5/train/aab8ddb168c68f2c103ce2abae2e4d8c.wav, 1
./data/finvcup9th_1st_ds5/train/15e556f6daa80fdd69863d5a6c15a278.wav, 1
./data/finvcup9th_1st_ds5/train/c1f852352efaaa0c6e9d2c2858819129.wav, 1
./data/finvcup9th_1st_ds5/train/4c529f6ccd702f11b85be06e39aa58d5.wav, 1
./data/finvcup9th_1st_ds5/train/54f2d4fd92b060f9752e9401a659e9de.wav, 1
./data/finvcup9th_1st_ds5/train/94cb61c2455e60d332bff5bb3ff42592.wav, 1
./data/finvcup9th_1st_ds5/train/8b1411a1bd2702d18c0d3c8e253601f5.wav, 0
./data/finvcup9th_1st_ds5/train/0419f153078a16e0585aa5333553f76e.wav, 0
./data/finvcup9th_1st_ds5/train/917143cd3188d50cfa5a27232ea91b0f.wav, 0
./data/finvcup9th_1st_ds5/train/281c8be30a7995e17f783738a669610a.wav, 1
./data/finvcup9th_1st_ds5/train/53f36aa1c81aec94a7a5583169c6c56e.wav, 0
./data/finvcup9th_1st_ds5/train/e7c6537d42866332670da003d6a85788.wav, 1
./data/finvcup9th_1st_ds5/train/3db0b3221b3fb895f29c69fcc62b8392.wav, 1
./data/finvcup9th_1st_ds5/train/168e208c79dd10d77007c15dfe2af914.wav, 1
./data/finvcup9th_1st_ds5/train/c91955a3b0fc8ec2ebe12f7be722d3bc.wav, 1
./data/finvcup9th_1st_ds5/train/dab78ad0b1f4560c852e8237c7de574c.wav, 1
./data/finvcup9th_1st_ds5/train/bebf27eccae1829583a1f32049aff247.wav, 1
./data/finvcup9th_1st_ds5/train/79650b0dab485db53808393ff2c75ce8.wav, 1
./data/finvcup9th_1st_ds5/train/4a2bab3aeee88222c25935fb1bcc9448.wav, 0
./data/finvcup9th_1st_ds5/train/e21ca1b62311e7041a02e856063f4e0f.wav, 1
./data/finvcup9th_1st_ds5/train/412b88eac2571e18e572149779dcab15.wav, 0
./data/finvcup9th_1st_ds5/train/868de4bb0b89aefdee407e817636a895.wav, 0
./data/finvcup9th_1st_ds5/train/7ac9dc21052d6d1bf91b8ec15cd5eb5a.wav, 1
./data/finvcup9th_1st_ds5/train/baa365626e2a7eafadefa2ec8003a6a7.wav, 1
./data/finvcup9th_1st_ds5/train/46b7564ea908a2e8fafd8787bc32abc2.wav, 1
./data/finvcup9th_1st_ds5/train/2f0a0c713e33405d07e49c96b68c8909.wav, 0
./data/finvcup9th_1st_ds5/train/38a0c939544b930791103903024a9bd4.wav, 1
./data/finvcup9th_1st_ds5/train/56b9b50e7f46049b36c7c462b5513e81.wav, 0
./data/finvcup9th_1st_ds5/train/4bfbaacdc4a233a234c64af3c443eea0.wav, 0
./data/finvcup9th_1st_ds5/train/736de4d4d25be1fb829fb08f34e41993.wav, 0
./data/finvcup9th_1st_ds5/train/42da4821189f68a65c59b7e7d39c572b.wav, 0
./data/finvcup9th_1st_ds5/train/519b53b6049fd4c817a79d8620b66753.wav, 1
./data/finvcup9th_1st_ds5/train/2d68ed046e6786d8511f0bc5fb275d20.wav, 0
./data/finvcup9th_1st_ds5/train/055da13d2a67029ea514546852588cb3.wav, 1
./data/finvcup9th_1st_ds5/train/7832d53778478177ad424c6ed0bb05f3.wav, 0
